GROUP,PACKAGE,CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Tota_Branch,LINE_MISSED,LINE_COVERED,Total_lines,Line Coveage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Complexity
Apache Commons Collections,org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator.MapEntry,0,0,0,0.00%,0,6,6,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,SingletonMap.SingletonMapIterator,5,9,14,64.29%,7,24,31,77%,6,12,18
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap,4,38,42,90.48%,1,99,100,99%,4,45,49
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap.Values,0,2,2,100.00%,2,7,9,78%,1,4,5
Apache Commons Collections,org.apache.commons.collections4.map,FixedSizeSortedMap,2,2,4,50.00%,6,21,27,78%,4,15,19
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map,128,162,290,55.86%,127,231,358,65%,100,84,184
Apache Commons Collections,org.apache.commons.collections4.map,LinkedMap,0,4,4,100.00%,4,21,25,84%,2,12,14
Apache Commons Collections,org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator.EntrySetIterator,0,0,0,0.00%,0,6,6,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceEntrySet,0,2,2,100.00%,0,8,8,100%,0,4,4
Apache Commons Collections,org.apache.commons.collections4.map,ReferenceMap,0,0,0,0.00%,6,10,16,63%,3,4,7
Apache Commons Collections,org.apache.commons.collections4.map,DefaultedMap,3,5,8,62.50%,3,22,25,88%,3,10,13
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.ListOrderedIterator,0,0,0,0.00%,0,9,9,100%,0,3,3
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap.ReflectionFactory,0,0,0,0.00%,2,4,6,67%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceValuesIterator,0,0,0,0.00%,0,3,3,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,AbstractMapDecorator,0,4,4,100.00%,0,27,27,100%,0,20,20
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap,11,63,74,85.14%,13,121,134,90%,12,44,56
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.KeySet,0,0,0,0.00%,0,11,11,100%,0,6,6
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.KeySetIterator,0,0,0,0.00%,0,3,3,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,SingletonMap,20,15,35,42.86%,29,50,79,63%,21,30,51
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.EntrySet,0,10,10,100.00%,0,19,19,100%,0,11,11
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap.KeySetIterator,0,0,0,0.00%,1,3,4,75%,1,2,3
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.EntryIterator,3,3,6,50.00%,8,9,17,53%,3,4,7
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.EntrySetIterator,0,0,0,0.00%,0,3,3,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,CaseInsensitiveMap,0,4,4,100.00%,2,19,21,90%,1,9,10
Apache Commons Collections,org.apache.commons.collections4.map,AbstractSortedMapDecorator.SortedMapIterator,0,0,0,0.00%,8,0,8,0%,4,0,4
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.ValuesView,0,0,0,0.00%,0,11,11,100%,0,8,8
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.EntrySetIterator,0,0,0,0.00%,0,3,3,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,AbstractIterableMap,0,0,0,0.00%,0,2,2,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap,0,40,40,100.00%,4,72,76,95%,3,40,43
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceKeySet,0,2,2,100.00%,0,8,8,100%,0,4,4
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableSortedMap,0,2,2,100.00%,4,21,25,84%,4,14,18
Apache Commons Collections,org.apache.commons.collections4.map,ReferenceIdentityMap,0,6,6,100.00%,6,16,22,73%,3,11,14
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.HashMapIterator,0,6,6,100.00%,0,15,15,100%,0,8,8
Apache Commons Collections,org.apache.commons.collections4.map,AbstractSortedMapDecorator,4,0,4,0.00%,9,8,17,47%,8,6,14
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap.LinkMapIterator,0,6,6,100.00%,0,16,16,100%,0,9,9
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap,5,39,44,88.64%,2,86,88,98%,6,38,44
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.HashIterator,2,18,20,90.00%,2,36,38,95%,2,14,16
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.Values,0,0,0,0.00%,0,5,5,100%,0,4,4
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceEntrySetIterator,0,0,0,0.00%,0,3,3,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableOrderedMap,0,2,2,100.00%,0,24,24,100%,0,13,13
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.EntrySetView,0,8,8,100.00%,0,26,26,100%,0,16,16
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.ValuesIterator,0,0,0,0.00%,0,3,3,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.HashEntry,2,20,22,90.91%,1,23,24,96%,2,16,18
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableEntrySet.UnmodifiableEntry,0,0,0,0.00%,0,4,4,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableSet,0,2,2,100.00%,0,13,13,100%,0,10,10
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableSortedSet,0,2,2,100.00%,0,24,24,100%,0,15,15
Apache Commons Collections,org.apache.commons.collections4.set,MapBackedSet,1,9,10,90.00%,1,31,32,97%,1,22,23
Apache Commons Collections,org.apache.commons.collections4.set,ListOrderedSet.OrderedSetIterator,0,0,0,0.00%,3,9,12,75%,2,3,5
Apache Commons Collections,org.apache.commons.collections4.set,TransformedSet,3,5,8,62.50%,0,10,10,100%,3,4,7
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSetDecorator,0,0,0,0.00%,2,3,5,60%,1,2,3
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSerializableSetDecorator,0,0,0,0.00%,0,8,8,100%,0,3,3
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedSet,0,0,0,0.00%,0,4,4,100%,0,3,3
Apache Commons Collections,org.apache.commons.collections4.set,CompositeSet,5,59,64,92.19%,6,109,115,95%,7,51,58
Apache Commons Collections,org.apache.commons.collections4.set,ListOrderedSet,4,36,40,90.00%,5,79,84,94%,4,38,42
Apache Commons Collections,org.apache.commons.collections4.set,TransformedSortedSet,8,0,8,0.00%,8,12,20,60%,6,8,14
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSortedSetDecorator,0,0,0,0.00%,5,6,11,55%,4,5,9
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedSortedSet,0,0,0,0.00%,0,13,13,100%,0,9,9
Apache Commons Collections,org.apache.commons.collections4.iterators,EnumerationIterator,4,0,4,0.00%,11,10,21,48%,6,4,10
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorChain,6,14,20,70.00%,13,43,56,77%,8,16,24
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyMapIterator,0,0,0,0.00%,0,4,4,100%,0,3,3
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonIterator,0,14,14,100.00%,0,22,22,100%,0,13,13
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayIterator,0,12,12,100.00%,2,27,29,93%,2,14,16
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterIterator,1,13,14,92.86%,5,33,38,87%,4,14,18
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorIterable,1,5,6,83.33%,0,12,12,100%,1,6,7
Apache Commons Collections,org.apache.commons.collections4.iterators,ReverseListIterator,1,5,6,83.33%,1,30,31,97%,1,13,14
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractListIteratorDecorator,1,1,2,50.00%,1,17,18,94%,1,11,12
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyIterator,0,0,0,0.00%,0,6,6,100%,0,4,4
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractUntypedIteratorDecorator,1,1,2,50.00%,1,8,9,89%,1,4,5
Apache Commons Collections,org.apache.commons.collections4.iterators,TransformIterator,0,0,0,0.00%,11,9,20,45%,6,5,11
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayListIterator,0,8,8,100.00%,1,25,26,96%,1,14,15
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableOrderedMapIterator,0,4,4,100.00%,0,17,17,100%,0,12,12
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingIterator,0,8,8,100.00%,0,17,17,100%,0,10,10
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyOrderedMapIterator,0,0,0,0.00%,0,4,4,100%,0,3,3
