CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_covergae,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
PolynomialFitter,0,0,0,100,5,4,9,0.444444444,3,2,5
GaussianFitter.ParameterGuesser.new Comparator() {...},15,5,20,0.25,13,7,20,0.35,10,2,12
CurveFitter.OldTheoreticalValuesFunction.new MultivariateMatrixFunction() {...},0,2,2,1,0,7,7,1,0,3,3
WeightedObservedPoint,0,0,0,100,0,8,8,1,0,4,4
CurveFitter,1,3,4,0.75,10,22,32,0.6875,4,7,11
GaussianFitter.ParameterGuesser,6,28,34,0.823529412,5,55,60,0.916666667,6,19,25
CurveFitter.TheoreticalValuesFunction,8,0,8,0,21,0,21,0,7,0,7
GaussianFitter,0,0,0,100,0,6,6,1,0,3,3
GaussianFitter.new Gaussian.Parametric() {...},0,0,0,100,1,10,11,0.909090909,0,3,3
HarmonicFitter,0,0,0,100,0,4,4,1,0,3,3
UnboundedSolutionException,0,0,0,100,0,2,2,1,0,1,1
LinearConstraint,6,6,12,0.5,15,24,39,0.615384615,7,10,17
NonNegativeConstraint,0,0,0,100,0,4,4,1,0,2,2
PivotSelectionRule,0,0,0,100,0,3,3,1,0,1,1
Relationship,0,3,3,1,1,11,12,0.916666667,1,5,6
LinearObjectiveFunction,4,4,8,0.5,3,20,23,0.869565217,5,9,14
SimplexSolver,3,61,64,0.953125,6,101,107,0.943925234,5,39,44
LinearOptimizer,0,8,8,1,0,18,18,1,0,10,10
LinearConstraintSet,2,0,2,0,4,5,9,0.555555556,2,2,4
NoFeasibleSolutionException,0,0,0,100,0,2,2,1,0,1,1
SimplexTableau,11,127,138,0.920289855,10,205,215,0.953488372,14,92,106
SolutionCallback,0,4,4,1,0,5,5,1,0,6,6
AdamsMoultonIntegrator,2,30,32,0.9375,4,76,80,0.95,2,17,19
AdamsMoultonIntegrator.Corrector,2,6,8,0.75,0,21,21,1,2,6,8
RungeKuttaStepInterpolator,7,23,30,0.766666667,2,49,51,0.960784314,7,14,21
ClassicalRungeKuttaIntegrator,0,0,0,100,0,5,5,1,0,2,2
HighamHall54Integrator,0,6,6,1,0,19,19,1,0,8,8
DormandPrince853StepInterpolator,5,43,48,0.895833333,4,116,120,0.966666667,5,29,34
AdamsNordsieckTransformer,0,20,20,1,1,68,69,0.985507246,1,17,18
ClassicalRungeKuttaStepInterpolator,1,7,8,0.875,0,35,35,1,1,7,8
RungeKuttaIntegrator,0,40,40,1,0,77,77,1,0,23,23
ThreeEighthesStepInterpolator,1,7,8,0.875,0,38,38,1,1,7,8
ThreeEighthesIntegrator,0,0,0,100,0,5,5,1,0,2,2
AdaptiveStepsizeIntegrator,6,40,46,0.869565217,2,84,86,0.976744186,5,30,35
EmbeddedRungeKuttaIntegrator,0,54,54,1,0,112,112,1,0,36,36
