CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
AbstractRealMatrix.new RealMatrixPreservingVisitor() {...},0,0,0,100.00,0,6,6,100%,0,4,4
AbstractRealMatrix.new RealMatrixPreservingVisitor() {...},0,2,2,1.00,0,11,11,100%,0,5,5
EigenDecomposition,18,146,164,0.89,24,281,305,92%,18,85,103
BlockFieldMatrix,34,230,264,0.87,97,634,731,87%,22,162,184
OpenMapRealVector,7,117,124,0.94,23,269,292,92%,11,99,110
QRDecomposition.Solver,0,44,44,1.00,0,84,84,100%,0,27,27
OpenMapRealMatrix,4,20,24,0.83,18,82,100,82%,4,24,28
Array2DRowFieldMatrix,9,83,92,0.90,23,176,199,88%,13,67,80
HessenbergTransformer,3,51,54,0.94,1,76,77,99%,4,29,33
RealVector.2.new Iterator() {...},0,0,0,100.00,1,5,6,83%,1,3,4
RealVector.2.new Iterator() {...},0,0,0,100.00,1,5,6,83%,1,3,4
RealVectorFormat,0,22,22,1.00,7,58,65,89%,5,21,26
NonPositiveDefiniteMatrixException,0,0,0,100.00,3,7,10,70%,3,1,4
JacobiPreconditioner,1,7,8,0.88,1,23,24,96%,1,9,10
NonSquareMatrixException,0,0,0,100.00,0,2,2,100%,0,1,1
JacobiPreconditioner.new RealLinearOperator() {...},0,0,0,100.00,2,3,5,60%,2,2,4
DefaultRealMatrixPreservingVisitor,0,0,0,100.00,1,3,4,75%,1,3,4
NonPositiveDefiniteOperatorException,0,0,0,100.00,0,2,2,100%,0,1,1
AbstractFieldMatrix,39,203,242,0.84,54,375,429,87%,34,149,183
PreconditionedIterativeLinearSolver,0,6,6,1.00,4,21,25,84%,2,9,11
SchurTransformer,7,83,90,0.92,2,189,191,99%,7,48,55
AbstractRealMatrix,22,176,198,0.89,35,338,373,91%,19,134,153
MatrixDimensionMismatchException,0,0,0,100.00,0,8,8,100%,0,5,5
RealVector.2.UnmodifiableEntry,0,0,0,100.00,0,3,3,100%,0,3,3
RealMatrixFormat,3,41,44,0.93,11,95,106,90%,10,30,40
OpenMapRealVector.OpenMapSparseIterator,0,0,0,100.00,1,7,8,88%,1,3,4
NonSelfAdjointOperatorException,0,0,0,100.00,0,2,2,100%,0,1,1
RealVector,0,82,82,1.00,2,210,212,99%,2,90,92
SingularOperatorException,0,0,0,100.00,2,0,2,0%,1,0,1
IterativeLinearSolverEvent,0,0,0,100.00,2,2,4,50%,2,1,3
MatrixUtils,42,116,158,0.73,52,229,281,81%,36,80,116
QRDecomposition,0,42,42,1.00,0,77,77,100%,0,30,30
RealVector.new Iterator() {...},0,4,4,1.00,0,9,9,100%,0,6,6
ArrayFieldVector,18,96,114,0.84,73,289,362,80%,20,110,130
RealVector.new RealVector() {...},0,0,0,100.00,2,43,45,96%,2,41,43
FieldLUDecomposition,2,52,54,0.96,0,82,82,100%,2,32,34
ConjugateGradient,3,15,18,0.83,7,61,68,90%,5,8,13
TriDiagonalTransformer,0,46,46,1.00,1,88,89,99%,1,30,31
RealVector.SparseEntryIterator,2,12,14,0.86,3,19,22,86%,3,9,12
MatrixUtils.FractionMatrixConverter,0,0,0,100.00,0,7,7,100%,0,4,4
IterativeLinearSolver,0,6,6,1.00,10,17,27,63%,3,6,9
ArrayRealVector,4,140,144,0.97,12,357,369,97%,6,133,139
DefaultMeasurementModel,0,0,0,100.00,2,6,8,75%,1,3,4
KalmanFilter,8,22,30,0.73,18,71,89,80%,11,16,27
DefaultProcessModel,0,0,0,100.00,4,12,16,75%,2,6,8
StorelessCovariance,7,15,22,0.68,9,27,36,75%,7,16,23
PearsonsCorrelation,3,27,30,0.90,2,75,77,97%,3,25,28
SpearmansCorrelation,5,27,32,0.84,3,59,62,95%,6,22,28
Covariance,4,12,16,0.75,5,48,53,91%,5,17,22
KendallsCorrelation.new Comparator() {...},0,2,2,1.00,0,3,3,100%,0,3,3
KendallsCorrelation,1,31,32,0.97,3,85,88,97%,2,22,24
StorelessBivariateCovariance,2,2,4,0.50,4,26,30,87%,3,5,8
SimplexOptimizer,1,17,18,0.94,3,33,36,92%,2,14,16
BaseAbstractMultivariateSimpleBoundsOptimizer,0,0,0,100.00,1,4,5,80%,1,3,4
CMAESOptimizer,39,177,216,0.82,44,377,421,90%,36,117,153
CMAESOptimizer.Sigma,0,4,4,1.00,0,7,7,100%,0,4,4
NelderMeadSimplex,1,31,32,0.97,3,82,85,96%,2,23,25
PowellOptimizer.LineSearch,0,0,0,100.00,0,10,10,100%,0,2,2
CMAESOptimizer.FitnessFunction,7,13,20,0.65,9,27,36,75%,5,11,16
CMAESOptimizer.PopulationSize,1,1,2,0.50,1,5,6,83%,1,2,3
PowellOptimizer,3,29,32,0.91,3,85,88,97%,3,20,23
SimplexOptimizer.new Comparator() {...},0,2,2,1.00,0,4,4,100%,0,3,3
SimplexOptimizer.new MultivariateFunction() {...},0,0,0,100.00,0,2,2,100%,0,2,2
AbstractSimplex,13,41,54,0.76,14,75,89,84%,14,27,41
BOBYQAOptimizer.PathIsExploredException,0,0,0,100.00,2,0,2,0%,1,0,1
BOBYQAOptimizer,105,519,624,0.83,157,1027,1184,87%,90,243,333
PowellOptimizer.LineSearch.new UnivariateFunction() {...},0,2,2,1.00,0,6,6,100%,0,3,3
MultivariateFunctionMappingAdapter.UpperBoundMapper,0,0,0,100.00,0,5,5,100%,0,3,3
MultivariateFunctionMappingAdapter.LowerBoundMapper,0,0,0,100.00,0,5,5,100%,0,3,3
MultiDirectionalSimplex,0,8,8,1.00,2,42,44,95%,1,13,14
MultivariateFunctionPenaltyAdapter,3,17,20,0.85,3,26,29,90%,3,9,12
CMAESOptimizer.DoubleIndex,6,0,6,0.00,7,5,12,42%,5,2,7
BaseAbstractMultivariateOptimizer,5,33,38,0.87,3,62,65,95%,6,29,35
BaseAbstractMultivariateVectorOptimizer,11,11,22,0.50,18,42,60,70%,13,17,30
MultivariateFunctionMappingAdapter.LowerUpperBoundMapper,0,0,0,100.00,0,6,6,100%,0,3,3
MultivariateFunctionMappingAdapter.NoBoundsMapper,0,0,0,100.00,0,4,4,100%,0,3,3
MultivariateFunctionMappingAdapter,2,16,18,0.89,2,26,28,93%,2,11,13
Beta,5,83,88,0.94,7,128,135,95%,8,47,55
Gamma.new ContinuedFraction() {...},0,0,0,100.00,0,3,3,100%,0,3,3
Gamma,7,83,90,0.92,5,158,163,97%,7,50,57
Beta.new ContinuedFraction() {...},0,2,2,1.00,0,8,8,100%,0,4,4
Erf,0,28,28,1.00,0,84,84,100%,0,19,19
BesselJ,19,113,132,0.86,12,242,254,95%,20,51,71
BesselJ.BesselJResult,0,0,0,100.00,2,4,6,67%,2,1,3
MixtureMultivariateRealDistribution,3,19,22,0.86,2,43,45,96%,3,14,17
BetaDistribution,9,11,20,0.55,11,39,50,78%,10,18,28
GammaDistribution,4,28,32,0.88,9,80,89,90%,6,30,36
AbstractRealDistribution.new UnivariateFunction() {...},0,0,0,100.00,0,2,2,100%,0,2,2
ZipfDistribution,0,22,22,1.00,1,54,55,98%,1,25,26
TriangularDistribution,4,36,40,0.90,3,58,61,95%,7,27,34
FDistribution,0,12,12,1.00,0,56,56,100%,0,24,24
LogisticDistribution,3,7,10,0.70,5,24,29,83%,5,14,19
EnumeratedDistribution,17,25,42,0.60,17,46,63,73%,14,15,29
ChiSquaredDistribution,0,0,0,100.00,0,22,22,100%,0,16,16
SaddlePointExpansion,1,15,16,0.94,1,41,42,98%,1,11,12
UniformRealDistribution,0,14,14,1.00,5,31,36,86%,3,20,23
NakagamiDistribution,2,4,6,0.67,2,27,29,93%,2,16,18
ExponentialDistribution,0,24,24,1.00,4,61,65,94%,3,28,31
HypergeometricDistribution,1,27,28,0.96,2,74,76,97%,2,31,33
TDistribution,1,13,14,0.93,0,47,47,100%,1,22,23
AbstractMultivariateRealDistribution,1,3,4,0.75,2,12,14,86%,1,5,6
EnumeratedIntegerDistribution,0,24,24,1.00,0,43,43,100%,0,22,22
PascalDistribution,3,9,12,0.75,4,34,38,89%,4,14,18
GeometricDistribution,2,8,10,0.80,3,27,30,90%,4,12,16
BinomialDistribution,3,21,24,0.88,4,29,33,88%,4,20,24
CauchyDistribution,0,10,10,1.00,6,30,36,83%,4,19,23
KolmogorovSmirnovDistribution,12,36,48,0.75,16,59,75,79%,13,18,31
MixtureMultivariateNormalDistribution,0,2,2,1.00,2,9,11,82%,1,4,5
GumbelDistribution,3,7,10,0.70,5,24,29,83%,5,14,19
UniformIntegerDistribution,0,16,16,1.00,1,29,30,97%,1,17,18
NormalDistribution,0,12,12,1.00,2,46,48,96%,2,27,29
PoissonDistribution,4,40,44,0.91,8,99,107,93%,7,32,39
ParetoDistribution,1,13,14,0.93,5,39,44,89%,3,24,27
LogNormalDistribution,2,16,18,0.89,2,58,60,97%,3,28,31
AbstractIntegerDistribution,9,35,44,0.80,9,56,65,86%,9,23,32
LevyDistribution,3,7,10,0.70,7,26,33,79%,6,14,20
LaplaceDistribution,3,11,14,0.79,5,24,29,83%,5,16,21
AbstractRealDistribution,5,39,44,0.89,6,62,68,91%,7,26,33
MultivariateNormalDistribution,6,22,28,0.79,10,49,59,83%,6,16,22
WeibullDistribution,4,18,22,0.82,7,61,68,90%,7,24,31
EnumeratedRealDistribution,3,31,34,0.91,1,58,59,98%,3,28,31
ConstantRealDistribution,0,8,8,1.00,1,16,17,94%,1,16,17
EuclideanDoublePoint,1,7,8,0.88,2,16,18,89%,2,9,11
EuclideanIntegerPoint,1,7,8,0.88,2,16,18,89%,2,9,11
Cluster,0,0,0,100.00,0,8,8,100%,0,4,4
DBSCANClusterer.PointStatus,0,0,0,100.00,0,3,3,100%,0,1,1
KMeansPlusPlusClusterer.EmptyClusterStrategy,0,0,0,100.00,0,5,5,100%,0,1,1
KMeansPlusPlusClusterer,14,78,92,0.85,8,158,166,95%,12,45,57
DBSCANClusterer,0,28,28,1.00,0,53,53,100%,0,21,21
AlternativeHypothesis,0,0,0,100.00,0,4,4,100%,0,1,1
TestUtils,0,0,0,100.00,11,44,55,80%,11,40,51
WilcoxonSignedRankTest,2,34,36,0.94,5,55,60,92%,3,24,27
ChiSquareTest,8,56,64,0.88,4,101,105,96%,8,35,43
GTest,6,50,56,0.89,2,85,87,98%,6,33,39
OneWayAnova.AnovaStats,0,0,0,100.00,0,5,5,100%,0,1,1
MannWhitneyUTest,0,10,10,1.00,3,31,34,91%,1,11,12
OneWayAnova,2,18,20,0.90,2,55,57,96%,2,15,17
KolmogorovSmirnovTest,70,96,166,0.58,90,214,304,70%,56,50,106
TTest,1,23,24,0.96,5,98,103,95%,2,41,43
BinomialTest,7,19,26,0.73,7,30,37,81%,7,10,17
HarmonicCurveFitter.ParameterGuesser,2,28,30,0.93,1,95,96,99%,2,18,20
GaussianFitter.new Gaussian.Parametric() {...},0,0,0,100.00,1,10,11,91%,0,3,3
PolynomialCurveFitter,1,3,4,0.75,2,26,28,93%,2,6,8
AbstractCurveFitter.TheoreticalValuesFunction.new MultivariateVectorFunction() {...},0,2,2,1.00,0,6,6,100%,0,3,3
AbstractCurveFitter.TheoreticalValuesFunction.new MultivariateMatrixFunction() {...},0,2,2,1.00,0,6,6,100%,0,3,3
WeightedObservedPoint,0,0,0,100.00,0,8,8,100%,0,4,4
GaussianFitter.ParameterGuesser.new Comparator() {...},15,5,20,0.25,13,7,20,35%,10,2,12
HarmonicFitter.ParameterGuesser,2,28,30,0.93,1,93,94,99%,2,18,20
SimpleCurveFitter,0,2,2,1.00,3,24,27,89%,2,4,6
GaussianCurveFitter.ParameterGuesser.new Comparator() {...},15,5,20,0.25,13,7,20,35%,10,2,12
GaussianFitter,0,0,0,100.00,0,6,6,100%,0,3,3
AbstractCurveFitter.TheoreticalValuesFunction,0,2,2,1.00,0,11,11,100%,0,4,4
AbstractCurveFitter,0,0,0,100.00,0,3,3,100%,0,3,3
CurveFitter.TheoreticalValuesFunction,0,0,0,100.00,0,5,5,100%,0,3,3
GaussianCurveFitter,0,4,4,1.00,0,28,28,100%,0,8,8
PolynomialFitter,0,0,0,100.00,1,3,4,75%,1,2,3
HarmonicFitter,0,0,0,100.00,0,4,4,100%,0,3,3
CurveFitter.TheoreticalValuesFunction.new MultivariateMatrixFunction() {...},0,2,2,1.00,0,7,7,100%,0,3,3
CurveFitter.TheoreticalValuesFunction.new MultivariateVectorFunction() {...},0,2,2,1.00,0,7,7,100%,0,3,3
GaussianCurveFitter.new Gaussian.Parametric() {...},0,0,0,100.00,0,11,11,100%,0,3,3
GaussianFitter.ParameterGuesser,6,28,34,0.82,5,55,60,92%,6,19,25
WeightedObservedPoints,0,0,0,100.00,0,11,11,100%,0,6,6
HarmonicCurveFitter,0,4,4,1.00,1,27,28,96%,1,7,8
GaussianCurveFitter.ParameterGuesser,6,28,34,0.82,5,55,60,92%,6,19,25
CurveFitter,0,2,2,1.00,2,26,28,93%,1,8,9
Target,0,0,0,100.00,0,4,4,100%,0,2,2
PointValuePair,2,4,6,0.67,0,10,10,100%,2,6,8
MultivariateMultiStartOptimizer,0,0,0,100.00,0,2,2,100%,0,1,1
PointValuePair.DataTransferObject,0,0,0,100.00,0,5,5,100%,0,2,2
SimpleValueChecker,1,9,10,0.90,3,16,19,84%,2,7,9
SimplePointChecker,2,10,12,0.83,3,21,24,88%,3,7,10
LeastSquaresConverter,3,15,18,0.83,3,35,38,92%,3,10,13
BaseMultivariateVectorMultiStartOptimizer,3,11,14,0.79,5,30,35,86%,4,10,14
SimpleVectorValueChecker,0,12,12,1.00,3,21,24,88%,1,9,10
DifferentiableMultivariateMultiStartOptimizer,0,0,0,100.00,2,0,2,0%,1,0,1
BaseMultivariateMultiStartOptimizer,5,9,14,0.64,8,25,33,76%,6,8,14
AbstractConvergenceChecker,0,0,0,100.00,4,8,12,67%,1,4,5
Weight,2,0,2,0.00,6,4,10,40%,2,2,4
PointVectorValuePair.DataTransferObject,0,0,0,100.00,0,5,5,100%,0,2,2
MultivariateDifferentiableVectorMultiStartOptimizer,0,0,0,100.00,0,2,2,100%,0,1,1
BaseMultivariateVectorMultiStartOptimizer.new Comparator() {...},2,6,8,0.75,1,11,12,92%,2,5,7
BaseMultivariateMultiStartOptimizer.new Comparator() {...},5,3,8,0.38,2,7,9,78%,4,2,6
MultivariateDifferentiableMultiStartOptimizer,0,0,0,100.00,0,2,2,100%,0,1,1
InitialGuess,0,0,0,100.00,0,4,4,100%,0,2,2
SimpleBounds,0,0,0,100.00,0,6,6,100%,0,3,3
GoalType,0,0,0,100.00,0,3,3,100%,0,1,1
DifferentiableMultivariateVectorMultiStartOptimizer,0,0,0,100.00,2,0,2,0%,1,0,1
PointVectorValuePair,3,9,12,0.75,0,13,13,100%,3,10,13
NaturalRanking,2,54,56,0.96,13,118,131,90%,5,44,49
NaNStrategy,0,0,0,100.00,0,6,6,100%,0,1,1
TiesStrategy,0,0,0,100.00,0,6,6,100%,0,1,1
NaturalRanking.IntDoublePair,0,0,0,100.00,0,7,7,100%,0,4,4
SumOfSquares,1,3,4,0.75,3,27,30,90%,2,9,11
Product,2,6,8,0.75,3,34,37,92%,3,12,15
SumOfLogs,1,3,4,0.75,3,27,30,90%,2,9,11
Sum,2,6,8,0.75,4,33,37,89%,4,11,15
NeuronSquareMesh2D,8,111,119,0.93,8,118,126,94%,11,58,69
NeuronSquareMesh2D.SerializationProxy,0,0,0,100.00,0,7,7,100%,0,2,2
PolynomialFunctionNewtonForm,3,15,18,0.83,7,44,51,86%,5,14,19
PolynomialFunctionLagrangeForm,3,31,34,0.91,15,73,88,83%,5,22,27
PolynomialsUtils.JacobiKey,4,4,8,0.50,1,8,9,89%,4,3,7
PolynomialSplineFunction,11,19,30,0.63,10,37,47,79%,8,16,24
PolynomialsUtils,0,20,20,1.00,0,72,72,100%,0,19,19
PolynomialFunction,15,47,62,0.76,25,84,109,77%,14,34,48
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100.00,0,3,3,100%,0,2,2
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100.00,0,3,3,100%,0,2,2
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100.00,0,2,2,100%,0,2,2
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100.00,0,8,8,100%,0,2,2
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100.00,0,3,3,100%,0,2,2
PolynomialFunction.Parametric,0,2,2,1.00,0,8,8,100%,0,4,4
AklToussaintHeuristic,3,41,44,0.93,2,44,46,96%,3,22,25
MonotoneChain,4,28,32,0.88,2,50,52,96%,5,16,21
ConvexHull2D,2,28,30,0.93,1,53,54,98%,2,19,21
MonotoneChain.new Comparator() {...},0,2,2,1.00,0,6,6,100%,0,3,3
AbstractConvexHullGenerator2D,0,2,2,1.00,0,16,16,100%,0,6,6
BigFractionFormat,2,19,21,0.90,8,54,62,87%,7,18,25
FractionField,0,0,0,100.00,0,5,5,100%,0,5,5
FractionField.LazyHolder,0,0,0,100.00,0,1,1,100%,0,1,1
FractionConversionException,0,0,0,100.00,0,4,4,100%,0,2,2
BigFractionField,0,0,0,100.00,0,5,5,100%,0,5,5
FractionFormat,1,12,13,0.92,8,43,51,84%,7,14,21
ProperBigFractionFormat,4,23,27,0.85,9,58,67,87%,5,16,21
BigFraction,10,92,102,0.90,14,229,243,94%,11,95,106
AbstractFormat,3,9,12,0.75,5,33,38,87%,5,14,19
ProperFractionFormat,4,15,19,0.79,9,54,63,86%,5,12,17
BigFractionField.LazyHolder,0,0,0,100.00,0,1,1,100%,0,1,1
Fraction,8,90,98,0.92,5,179,184,97%,8,73,81
LearningFactorFunctionFactory,0,8,8,1.00,0,6,6,100%,0,6,6
KohonenUpdateAction,1,9,10,0.90,1,40,41,98%,2,9,11
LearningFactorFunctionFactory.new LearningFactorFunction() {...},0,0,0,100.00,0,3,3,100%,0,2,2
LearningFactorFunctionFactory.new LearningFactorFunction() {...},0,0,0,100.00,0,3,3,100%,0,2,2
NeighbourhoodSizeFunctionFactory.new NeighbourhoodSizeFunction() {...},0,0,0,100.00,0,3,3,100%,0,2,2
NeighbourhoodSizeFunctionFactory.new NeighbourhoodSizeFunction() {...},0,0,0,100.00,0,3,3,100%,0,2,2
NeighbourhoodSizeFunctionFactory,0,0,0,100.00,0,2,2,100%,0,2,2
KohonenTrainingTask,0,2,2,1.00,0,8,8,100%,0,3,3
OrderedCrossover,0,14,14,1.00,0,37,37,100%,0,10,10
ChromosomePair,0,0,0,100.00,1,6,7,86%,1,3,4
FixedElapsedTime,1,5,6,0.83,3,8,11,73%,2,4,6
InvalidRepresentationException,0,0,0,100.00,0,2,2,100%,0,1,1
RandomKey,3,29,32,0.91,4,63,67,94%,4,24,28
TournamentSelection,1,3,4,0.75,5,13,18,72%,3,4,7
BinaryMutation,1,3,4,0.75,1,8,9,89%,1,3,4
BinaryChromosome,1,15,16,0.94,1,22,23,96%,1,12,13
Chromosome,1,7,8,0.88,1,15,16,94%,2,8,10
RandomKeyMutation,1,1,2,0.50,2,8,10,80%,1,2,3
ElitisticListPopulation,0,6,6,1.00,0,20,20,100%,0,8,8
OnePointCrossover,3,7,10,0.70,2,18,20,90%,3,5,8
TournamentSelection.new ListPopulation() {...},0,0,0,100.00,1,1,2,50%,1,1,2
CycleCrossover,1,21,22,0.95,2,42,44,95%,2,14,16
ListPopulation,5,17,22,0.77,9,41,50,82%,4,20,24
NPointCrossover,1,15,16,0.94,2,35,37,95%,2,10,12
FixedGenerationCount,1,3,4,0.75,2,9,11,82%,2,3,5
AbstractListChromosome,1,1,2,0.50,0,12,12,100%,1,6,7
GeneticAlgorithm,6,12,18,0.67,6,39,45,87%,7,14,21
UniformCrossover,0,14,14,1.00,1,24,25,96%,1,10,11
Frequency,9,47,56,0.84,11,143,154,93%,8,57,65
Frequency.NaturalComparator,0,0,0,100.00,0,1,1,100%,0,1,1
StatUtils,7,23,30,0.77,10,80,90,89%,7,42,49
Neuron.SerializationProxy,0,0,0,100.00,0,5,5,100%,0,2,2
Neuron,2,10,12,0.83,3,22,25,88%,3,11,14
FeatureInitializerFactory.new FeatureInitializer() {...},0,0,0,100.00,0,2,2,100%,0,2,2
FeatureInitializerFactory.new FeatureInitializer() {...},0,0,0,100.00,0,5,5,100%,0,2,2
Network,9,35,44,0.80,10,98,108,91%,11,30,41
Network.SerializationProxy,0,0,0,100.00,0,7,7,100%,0,2,2
SquareNeighbourhood,0,0,0,100.00,0,3,3,100%,0,1,1
MapUtils,32,4,36,0.11,71,9,80,11%,21,3,24
FeatureInitializerFactory,0,0,0,100.00,2,4,6,67%,1,3,4
Network.NeuronIdentifierComparator,2,2,4,0.50,0,4,4,100%,2,2,4
NormalApproximationInterval,0,0,0,100.00,0,8,8,100%,0,2,2
IntervalUtils,0,10,10,1.00,0,19,19,100%,0,11,11
ClopperPearsonInterval,2,2,4,0.50,0,14,14,100%,2,2,4
WilsonScoreInterval,0,0,0,100.00,0,15,15,100%,0,2,2
ConfidenceInterval,3,3,6,0.50,3,12,15,80%,4,5,9
AgrestiCoullInterval,0,0,0,100.00,0,11,11,100%,0,2,2
PolyhedronsSet.TranslationTransform,0,2,2,1.00,0,15,15,100%,0,5,5
SphericalCoordinates.DataTransferObject,0,0,0,100.00,0,6,6,100%,0,2,2
RotationOrder,0,0,0,100.00,0,22,22,100%,0,6,6
FieldRotation,3,105,108,0.97,0,431,431,100%,3,88,91
OutlineExtractor,14,0,14,0.00,34,0,34,0%,10,0,10
Vector3DFormat,1,3,4,0.75,4,19,23,83%,2,9,11
PolyhedronsSet.FacetsContributionVisitor,2,6,8,0.75,2,24,26,92%,2,7,9
Line,4,12,16,0.75,7,46,53,87%,8,21,29
SubLine,0,14,14,1.00,2,28,30,93%,1,13,14
Rotation,3,105,108,0.97,0,365,365,100%,3,76,79
Segment,0,0,0,100.00,0,8,8,100%,0,4,4
